,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age
175,14000.0,13912.0,36,F,1992-11-29,พนักงานบริษัท,14000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,2022-08-20,S1,PL,APPLICATION_COMPLETED,31,14
176,180000.0,177060.86,60,F,1978-04-10,STREET VENDOR,32000.0,CAR,TOYOTA,VIOS,2012,BF,277500,S1,2022-10-10,S1,PL,APPLICATION_COMPLETED,45,11
177,29000.0,28555.29,24,F,1993-08-19,พนักงานบริษัท,20000.0,MC,HONDA,MSX 125,2019,BY,39500,S1,2022-11-29,S1,PL,APPLICATION_COMPLETED,30,4
179,44200.0,44200.0,36,M,1991-03-19,พนักงานบริษัท,13000.0,CAR,HONDA,ACCORD,2000,DN,147500,S1,2022-12-16,S1,PL,APPLICATION_COMPLETED,32,23
180,20000.0,19975.21,18,M,1983-09-14,อื่นๆ,10000.0,MC,HONDA,WAVE 125,2008,AP,27900,S1,2022-08-18,S1,PL,APPLICATION_COMPLETED,40,15
183,278000.0,277505.35,60,M,1982-10-06,พนักงานบริษัท,18000.0,PU,TOYOTA,HILUX VIGO,2014,BP,347500,S1,2022-07-11,S1,PL,APPLICATION_COMPLETED,41,9
184,40000.0,40000.0,12,F,1996-02-15,STREET VENDOR,30000.0,MC,HONDA,CLICK 160,2022,CP,57100,S1,2022-11-15,S1,PL,APPLICATION_COMPLETED,27,1
187,140000.0,139982.58,60,F,1990-03-17,พนักงานบริษัท,20000.0,CAR,MITSUBISHI,ATTRAGE,2013,BP,215500,S1,2022-10-11,S1,PL,APPLICATION_COMPLETED,33,10
188,140000.0,140000.0,60,M,1969-05-10,อื่นๆ,30000.0,PU,ISUZU,D-MAX,2005,CK,201500,S1,2022-09-12,S1,PL,APPLICATION_COMPLETED,54,18
189,15000.0,14595.03,24,M,2000-12-01,STREET VENDOR,10000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,2022-11-10,S1,PL,APPLICATION_COMPLETED,23,5
190,33000.0,31539.49,36,F,1997-12-13,พนักงานบริษัท,13000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-08-22,S1,PL,APPLICATION_COMPLETED,26,4
191,45000.0,44140.05,36,M,1988-02-05,อื่นๆ,30000.0,PU,FORD,RANGER,2005,AR,149000,S1,2022-09-16,S1,PL,APPLICATION_COMPLETED,35,18
192,30000.0,29516.2,24,F,1982-11-09,STREET VENDOR,14000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-11-01,S1,PL,APPLICATION_COMPLETED,41,6
193,100000.0,96387.54,36,F,1986-09-08,STREET VENDOR,30000.0,CAR,TOYOTA,YARIS,2020,FL,441000,S1,2022-12-29,S1,PL,APPLICATION_COMPLETED,37,3
194,250000.0,249102.22,60,F,1984-12-16,พนักงานบริษัท,22800.0,CAR,TOYOTA,VIOS,2014,DK,340500,S1,2022-10-03,S1,PL,APPLICATION_COMPLETED,39,9
195,39000.0,36285.1,18,F,1981-04-20,พนักงานบริษัท,18000.0,MC,HONDA,PCX 150,2015,CF,52000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,42,8
196,33200.0,33200.0,36,F,1998-11-14,พนักงานบริษัท,12000.0,MC,HONDA,SCOOPY PRESTIGE,2021,BY,44000,S1,2022-12-19,S1,PL,APPLICATION_COMPLETED,25,2
198,210000.0,210000.0,60,F,1993-01-05,พนักงานบริษัท,12000.0,PU,TOYOTA,HILUX VIGO,2012,EG,325000,S1,2022-10-27,S1,PL,APPLICATION_COMPLETED,30,11
199,15000.0,14600.38,36,F,1961-02-05,อื่นๆ,10000.0,MC,HONDA,WAVE 100,2007,AI,20000,S1,2022-11-17,S1,PL,APPLICATION_COMPLETED,62,16
200,180000.0,180000.0,60,F,1965-06-29,STREET VENDOR,17000.0,PU,TOYOTA,HILUX VIGO,2008,EL,234000,S1,2022-12-26,S1,PL,APPLICATION_COMPLETED,58,15
201,239200.0,238129.37,60,F,1990-08-28,พนักงานบริษัท,30000.0,CAR,TOYOTA,VIOS,2015,DL,319000,S1,2022-08-05,S1,PL,APPLICATION_COMPLETED,33,8
202,100000.0,94512.36,24,M,1967-01-05,อื่นๆ,15000.0,PU,TOYOTA,HILUX TIGER,2004,BT,193000,S1,2022-10-11,S1,PL,APPLICATION_COMPLETED,56,19
203,135000.0,135000.0,36,F,1957-01-01,เกษตรกร,20000.0,PU,TOYOTA,HILUX TIGER,2002,DH,169000,S1,2022-12-19,S1,PL,APPLICATION_COMPLETED,66,21
204,7000.0,7000.0,12,M,1981-03-27,อื่นๆ,10000.0,MC,RYUKA,CRUISER,2018,AD,23300,S1,2022-11-29,S1,PL,APPLICATION_COMPLETED,42,5
205,21000.0,20276.92,36,F,1990-06-22,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2018,CE,28000,S1,2022-09-21,S1,PL,APPLICATION_COMPLETED,33,5
206,205000.0,205000.0,60,M,1966-05-28,พนักงานบริษัท,15000.0,CAR,NISSAN,MARCH,2018,AV,291500,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,57,5
208,150000.0,146231.29,60,M,1974-12-05,ข้าราชการ,35000.0,CAR,HONDA,CIVIC,2007,AU,218500,S1,2022-09-19,S1,PL,APPLICATION_COMPLETED,49,16
209,100000.0,100000.0,36,F,1980-06-11,เลี้ยงสัตว์,30000.0,PU,ISUZU,D-MAX,2007,CV,286000,S1,2022-12-16,S1,PL,APPLICATION_COMPLETED,43,16
210,200000.0,194915.6,30,M,1979-08-03,STREET VENDOR,30000.0,PU,MAZDA,BT-50PRO,2014,BB,328000,S1,2022-08-01,S1,PL,APPLICATION_COMPLETED,44,9
211,34000.0,28625.04,12,M,1991-03-11,ข้าราชการ,12350.0,MC,HONDA,WAVE 110 I,2021,DP,46000,S1,2022-11-02,S1,PL,APPLICATION_COMPLETED,32,2
213,30000.0,30000.0,36,M,1965-07-17,อื่นๆ,15200.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,2022-12-21,S1,PL,APPLICATION_COMPLETED,58,7
214,35000.0,33090.15,36,M,1994-07-17,พนักงานบริษัท,15000.0,MC,VESPA,LX 125,2020,AE,69500,S1,2022-09-11,S1,PL,APPLICATION_COMPLETED,29,3
215,195000.0,195000.0,48,F,1982-11-13,พนักงานบริษัท,24400.0,PU,NISSAN,FRONTIER NAVARA,2013,AI,280500,S1,2022-11-03,S1,PL,APPLICATION_COMPLETED,41,10
218,35000.0,35000.0,24,F,1989-06-05,STREET VENDOR,35000.0,MC,HONDA,CLICK 150I,2018,BE,47000,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,34,5
220,15000.0,14754.55,12,M,1996-04-21,พนักงานบริษัท,15000.0,MC,GPX,LEGEND 200,2017,AG,24000,S1,2022-08-22,S1,PL,APPLICATION_COMPLETED,27,6
222,200000.0,200000.0,60,M,1989-03-02,พนักงานบริษัท,27000.0,PU,MITSUBISHI,TRITON,2011,BG,314500,S1,2022-11-07,S1,PL,APPLICATION_COMPLETED,34,12
223,24000.0,24000.0,36,F,1997-02-16,อื่นๆ,20000.0,MC,HONDA,SCOOPY I,2019,CM,37500,S1,2022-12-24,S1,PL,APPLICATION_COMPLETED,26,4
224,29000.0,29000.0,36,M,1986-04-02,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2016,CI,39000,S1,2022-12-30,S1,PL,APPLICATION_COMPLETED,37,7
225,36000.0,36000.0,36,M,1994-03-21,อื่นๆ,12000.0,MC,YAMAHA,AEROX 155,2019,AD,48000,S1,2022-12-29,S1,PL,APPLICATION_COMPLETED,29,4
226,17000.0,16915.71,12,F,1966-01-01,อื่นๆ,12000.0,MC,SUZUKI,LETS 110 (CAST),2019,AV,26500,S1,2022-09-07,S1,PL,APPLICATION_COMPLETED,57,4
227,30000.0,29011.4,18,M,1960-07-04,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,2022-10-18,S1,PL,APPLICATION_COMPLETED,63,6
228,175000.0,175000.0,54,F,1997-10-24,พนักงานบริษัท,19000.0,PU,ISUZU,D-MAX,2006,AB,250000,S1,2022-12-21,S1,PL,APPLICATION_COMPLETED,26,17
229,50000.0,50000.0,18,F,1999-09-23,พนักงานบริษัท,12000.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,24,3
230,35000.0,35000.0,24,F,1966-12-25,STREET VENDOR,15000.0,PU,ISUZU,FASTER Z,1994,AB,67500,S1,2022-12-26,S1,PL,APPLICATION_COMPLETED,57,29
231,35000.0,32427.7,24,F,1984-06-25,STREET VENDOR,13000.0,MC,YAMAHA,GRAND FILANO 125,2018,AT,49000,S1,2022-11-01,S1,PL,APPLICATION_COMPLETED,39,5
232,249000.0,244012.08,48,M,1987-11-23,พนักงานบริษัท,20000.0,PU,ISUZU,MU-7,2011,AD,435500,S1,2022-08-06,S1,PL,APPLICATION_COMPLETED,36,12
233,140000.0,140000.0,60,M,1990-07-23,เลี้ยงสัตว์,30000.0,PU,TOYOTA,HILUX TIGER,2003,BD,179500,S1,2022-12-26,S1,PL,APPLICATION_COMPLETED,33,20
234,29000.0,26831.45,24,M,1967-03-04,อื่นๆ,20000.0,MC,HONDA,CLICK 125I,2018,BA,39000,S1,2022-11-03,S1,PL,APPLICATION_COMPLETED,56,5
235,33000.0,32751.54,36,F,1979-08-27,STREET VENDOR,18000.0,MC,HONDA,WAVE 110 I,2020,EH,45000,S1,2022-09-26,S1,PL,APPLICATION_COMPLETED,44,3
236,40000.0,38317.77,24,F,1956-11-25,อื่นๆ,15000.0,CAR,HONDA,CITY,2003,AC,108500,S1,2022-12-06,S1,PL,APPLICATION_COMPLETED,67,20
237,18000.0,18000.0,12,F,1991-03-24,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 125I,2013,AI,24500,S1,2022-12-29,S1,PL,APPLICATION_COMPLETED,32,10
238,200000.0,200000.0,60,F,1988-04-30,STREET VENDOR,12000.0,CAR,SUZUKI,SWIFT,2013,AD,265500,S1,2022-11-29,S1,PL,APPLICATION_COMPLETED,35,10
239,290000.0,284719.66,48,M,1971-07-06,พนักงานบริษัท,25000.0,PU,ISUZU,D-MAX,2016,CE,464500,S1,2022-08-25,S1,PL,APPLICATION_COMPLETED,52,7
240,12000.0,10690.6,24,M,1988-10-31,พนักงานรัฐวิสาหกิจ,13000.0,MC,HONDA,WAVE 100,2009,AV,24000,S1,2022-10-29,S1,PL,APPLICATION_COMPLETED,35,14
241,26000.0,26000.0,36,F,1993-01-31,STREET VENDOR,13000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,2022-10-17,S1,PL,APPLICATION_COMPLETED,30,10
242,33000.0,32930.2,18,F,1986-11-21,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-07-15,S1,PL,APPLICATION_COMPLETED,37,4
243,12000.0,11900.44,24,F,1989-07-06,อื่นๆ,18000.0,MC,YAMAHA,FINO (4DO),2008,AA,17000,S1,2022-08-26,S1,PL,APPLICATION_COMPLETED,34,15
246,72000.0,72000.0,60,M,1983-06-12,ข้าราชการ,36000.0,PU,SUZUKI,CARIBIAN,2005,AD,240000,S1,2022-10-29,S1,PL,APPLICATION_COMPLETED,40,18
247,150000.0,150000.0,60,M,1984-05-12,อื่นๆ,12956.0,PU,ISUZU,ADVENTURE,2004,DB,189000,S1,2022-11-05,S1,PL,APPLICATION_COMPLETED,39,19
248,25000.0,20526.43,24,M,1995-02-24,พนักงานบริษัท,12000.0,MC,HONDA,CBR 150,2016,AN,34000,S1,2022-10-19,S1,PL,APPLICATION_COMPLETED,28,7
249,157000.0,157000.0,60,F,1984-12-11,พนักงานบริษัท,14000.0,CAR,TOYOTA,COROLLA ALTIS,2010,EJ,209000,S1,2022-12-15,S1,PL,APPLICATION_COMPLETED,39,13
250,173000.0,173000.0,60,M,1992-03-20,พนักงานบริษัท,30000.0,PU,ISUZU,D-MAX,2005,CE,217000,S1,2022-10-27,S1,PL,APPLICATION_COMPLETED,31,18
251,20000.0,20000.0,18,F,1981-03-20,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-12-08,S1,PL,APPLICATION_COMPLETED,42,4
252,110000.0,109424.26,60,F,1985-12-27,อาจารย์,25000.0,CAR,TOYOTA,COROLLA ALTIS,2009,DO,245000,S1,2022-09-19,S1,PL,APPLICATION_COMPLETED,38,14
253,29000.0,28713.38,36,M,1977-11-30,STREET VENDOR,25000.0,MC,YAMAHA,FINN 115I,2022,AE,38500,S1,2022-10-10,S1,PL,APPLICATION_COMPLETED,46,1
254,115000.0,113042.2,36,F,1990-05-06,ข้าราชการ,13280.0,CAR,TOYOTA,VIOS,2008,AL,188000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,33,15
255,26400.0,26323.37,36,F,2000-07-28,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S1,2022-10-18,S1,PL,APPLICATION_COMPLETED,23,11
256,14500.0,14308.65,18,F,1985-05-26,อื่นๆ,15000.0,MC,HONDA,ICON,2008,AX,19500,S1,2022-09-23,S1,PL,APPLICATION_COMPLETED,38,15
257,130000.0,130000.0,60,F,1993-12-14,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,30,20
258,140000.0,140000.0,48,M,1990-06-20,อื่นๆ,13000.0,PU,MITSUBISHI,TRITON,2008,AM,199500,S1,2022-09-19,S1,PL,APPLICATION_COMPLETED,33,15
259,27700.0,26903.27,36,M,1997-12-04,พนักงานบริษัท,11000.0,MC,HONDA,WAVE 110 I,2015,CI,37000,S1,2022-09-27,S1,PL,APPLICATION_COMPLETED,26,8
260,33000.0,32929.75,18,M,1974-08-05,เลี้ยงสัตว์,30000.0,MC,HONDA,WAVE 110 I,2021,DM,44000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,49,2
263,31000.0,30920.12,36,F,1974-12-05,อื่นๆ,7000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,49,5
266,26000.0,25421.83,24,F,1996-12-18,พนักงานบริษัท,13000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-10-28,S1,PL,APPLICATION_COMPLETED,27,10
267,130000.0,130000.0,108,F,1986-06-12,พนักงานบริษัท,15000.0,PU,TOYOTA,HILUX TIGER,2003,BF,163000,S2,2022-11-09,S2,PL,APPLICATION_COMPLETED,37,20
269,130000.0,130000.0,60,F,1994-10-04,พนักงานบริษัท,15000.0,CAR,HONDA,JAZZ,2006,CO,178000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,29,17
270,17000.0,16988.54,36,M,1978-05-01,พนักงานบริษัท,15000.0,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S1,2022-09-23,S1,PL,APPLICATION_COMPLETED,45,13
271,31700.0,30670.24,36,F,1988-07-28,พนักงานบริษัท,16000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,35,6
272,22000.0,21812.37,36,M,1971-08-16,อื่นๆ,10000.0,MC,YAMAHA,MIO 125I,2015,BR,30000,S1,2022-09-23,S1,PL,APPLICATION_COMPLETED,52,8
273,180000.0,180000.0,60,F,1978-01-17,อื่นๆ,30000.0,CAR,TOYOTA,CAMRY,2006,EF,282500,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,45,17
274,165000.0,165000.0,60,F,1982-08-30,STREET VENDOR,30000.0,CAR,TOYOTA,VIOS,2010,DX,222000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,41,13
276,36000.0,36000.0,36,M,1989-08-23,พนักงานบริษัท,23000.0,MC,HONDA,CLICK 150I,2019,BH,48500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,34,4
277,207000.0,207000.0,60,M,1971-01-12,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2007,DC,260000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,52,16
279,26000.0,25215.52,36,M,1987-12-07,อื่นๆ,20000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S1,2022-09-30,S1,PL,APPLICATION_COMPLETED,36,11
280,17000.0,15456.7,24,F,1965-12-27,STREET VENDOR,25000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S1,2022-09-14,S1,PL,APPLICATION_COMPLETED,58,11
281,14000.0,13024.24,24,M,1961-09-17,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,2022-10-19,S1,PL,APPLICATION_COMPLETED,62,14
283,210000.0,210000.0,60,M,1968-09-26,STREET VENDOR,20000.0,CAR,HONDA,CITY,2013,AB,282500,S2,2022-11-29,S2,PL,APPLICATION_COMPLETED,55,10
284,27000.0,26830.51,36,F,1976-10-30,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S1,2022-10-04,S1,PL,APPLICATION_COMPLETED,47,11
285,20000.0,18876.16,24,M,1977-07-25,เกษตรกร,20000.0,MC,HONDA,MSX 125,2016,BF,27000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,46,7
288,26600.0,25979.09,36,M,1995-07-30,พนักงานบริษัท,14000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,2022-08-23,S1,PL,APPLICATION_COMPLETED,28,10
289,17200.0,16774.98,36,M,1965-11-08,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,58,11
292,164000.0,164000.0,60,F,1975-07-24,STREET VENDOR,15000.0,CAR,TOYOTA,VIOS,2013,DV,253500,S1,2022-09-12,S1,PL,APPLICATION_COMPLETED,48,10
293,25000.0,24895.06,36,F,1984-10-15,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,39,11
294,18000.0,14560.34,18,M,1984-01-27,พนักงานบริษัท,33000.0,MC,HONDA,MSX 125,2016,BG,25000,S1,2023-01-11,S2,PL,APPLICATION_COMPLETED,39,7
295,28000.0,27987.02,30,M,1977-12-31,เกษตรกร,12000.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,2023-01-12,S2,PL,APPLICATION_COMPLETED,46,7
296,240000.0,240000.0,60,F,1982-12-11,เกษตรกร,35000.0,PU,ISUZU,D-MAX,2008,AW,311000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,41,15
297,26000.0,24606.62,18,M,1960-04-08,STREET VENDOR,15000.0,CAR,HONDA,CITY,2000,DR,87000,S1,2022-08-24,S1,PL,APPLICATION_COMPLETED,63,23
298,10000.0,10000.0,24,M,1984-05-12,พนักงานรัฐวิสาหกิจ,38000.0,MC,YAMAHA,SPARK LX 115,2016,BH,20500,S1,2022-10-17,S1,PL,APPLICATION_COMPLETED,39,7
301,40000.0,36813.3,36,M,1998-03-14,พนักงานบริษัท,20000.0,MC,HONDA,PCX 150,2017,CQ,61500,S1,2022-08-23,S1,PL,APPLICATION_COMPLETED,25,6
303,9000.0,8297.2,18,F,1967-03-19,อื่นๆ,10000.0,MC,YAMAHA,NOUVO 135,2008,AD,12000,S1,2022-09-16,S1,PL,APPLICATION_COMPLETED,56,15
304,30000.0,27453.98,36,M,1975-10-05,STREET VENDOR,25000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-08-22,S1,PL,APPLICATION_COMPLETED,48,5
305,173000.0,173000.0,60,F,1975-12-11,ข้าราชการ,21020.0,PU,ISUZU,D-MAX,2006,CM,247500,S1,2022-10-11,S1,PL,APPLICATION_COMPLETED,48,17
306,23400.0,23073.44,36,F,1962-01-14,เกษตรกร,15000.0,MC,HONDA,DREAM 125,2009,AL,31000,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,61,14
309,30000.0,29856.81,36,M,2002-02-26,พนักงานบริษัท,10350.0,MC,HONDA,WAVE 110 I,2022,CH,44500,S1,2022-09-21,S1,PL,APPLICATION_COMPLETED,21,1
312,20000.0,19019.94,18,F,1988-03-28,พนักงานบริษัท,9000.0,CAR,TOYOTA,COROLLA,2000,AT,95000,S1,2022-10-17,S1,PL,APPLICATION_COMPLETED,35,23
313,200000.0,195777.4,60,M,1966-02-09,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2011,CD,377000,S1,2022-07-25,S1,PL,APPLICATION_COMPLETED,57,12
314,30000.0,29769.9,24,F,1984-05-06,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,39,4
317,15000.0,13547.98,18,F,1966-09-15,STREET VENDOR,7000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,57,10
318,27000.0,26101.46,36,F,1977-06-12,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2012,BE,37000,S1,2022-09-30,S1,PL,APPLICATION_COMPLETED,46,11
319,16000.0,16000.0,30,F,1983-07-27,พนักงานบริษัท,17700.0,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S1,2022-10-24,S1,PL,APPLICATION_COMPLETED,40,13
320,17200.0,17200.0,36,F,1987-02-11,พนักงานบริษัท,20000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S1,2022-11-12,S1,PL,APPLICATION_COMPLETED,36,13
322,18000.0,18000.0,36,M,1997-01-21,อื่นๆ,9400.0,MC,HONDA,WAVE 125,2010,BF,30500,S1,2022-11-24,S1,PL,APPLICATION_COMPLETED,26,13
323,32000.0,30916.75,18,F,1969-04-16,เกษตรกร,13000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,2022-07-20,S1,PL,APPLICATION_COMPLETED,54,5
324,20000.0,19911.4,12,F,1989-06-28,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2015,CI,37000,S1,2022-09-26,S1,PL,APPLICATION_COMPLETED,34,8
326,7000.0,6855.31,18,M,1981-05-01,STREET VENDOR,12000.0,MC,HONDA,CLICK 110,2008,AB,14000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,42,15
327,9000.0,8656.85,18,F,1997-03-30,อื่นๆ,10000.0,MC,YAMAHA,SPARK NANO,2011,AE,12000,S1,2022-10-27,S1,PL,APPLICATION_COMPLETED,26,12
328,20000.0,19950.58,36,F,1985-11-16,STREET VENDOR,20000.0,MC,HONDA,WAVE 125,2007,AL,26900,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,38,16
330,17200.0,17200.0,36,F,1987-02-11,พนักงานบริษัท,20000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S1,2022-11-12,S1,PL,APPLICATION_COMPLETED,36,13
331,29000.0,28950.93,24,M,1972-05-31,พนักงานบริษัท,20000.0,MC,HONDA,ZOOMER X 110I,2020,DS,41000,S1,2022-09-14,S1,PL,APPLICATION_COMPLETED,51,3
332,12600.0,11908.79,18,F,1979-01-21,อื่นๆ,12000.0,MC,YAMAHA,FINO 115,2013,AJ,19500,S1,2022-10-19,S1,PL,APPLICATION_COMPLETED,44,10
333,190000.0,187072.93,60,M,1994-05-05,อื่นๆ,16000.0,PU,TOYOTA,HILUX VIGO,2008,BZ,248000,S1,2022-08-01,S1,PL,APPLICATION_COMPLETED,29,15
334,103900.0,102134.64,60,M,1977-03-18,อื่นๆ,12000.0,CAR,FORD,FIESTA,2010,BU,148500,S2,2022-11-22,S2,PL,APPLICATION_COMPLETED,46,13
335,20000.0,19187.74,24,M,1972-12-20,STREET VENDOR,20000.0,MC,HONDA,MOOVE 110I,2014,AZ,27000,S1,2022-08-27,S1,PL,APPLICATION_COMPLETED,51,9
338,25000.0,23655.46,24,F,1969-07-02,ข้าราชการ,25000.0,MC,HONDA,SCOOPY I,2017,CB,26500,S1,2022-09-24,S1,PL,APPLICATION_COMPLETED,54,6
340,250000.0,250000.0,60,M,1972-05-03,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2011,AZ,371500,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,51,12
341,32300.0,31717.52,48,F,1964-10-29,อื่นๆ,20000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S2,2022-11-18,S2,PL,APPLICATION_COMPLETED,59,5
343,15000.0,13864.8,24,F,1991-07-14,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-09-22,S1,PL,APPLICATION_COMPLETED,32,5
345,10000.0,9372.28,12,F,1982-09-07,อื่นๆ,11000.0,MC,YAMAHA,FINO (4DO),2009,AA,17000,S1,2022-08-19,S1,PL,APPLICATION_COMPLETED,41,14
346,17000.0,16940.44,12,M,1977-02-02,พนักงานรัฐวิสาหกิจ,15000.0,MC,HONDA,SCOOPY I,2012,BO,23000,S1,2022-08-25,S1,PL,APPLICATION_COMPLETED,46,11
347,100000.0,100000.0,60,M,1983-06-16,ข้าราชการ,27000.0,CAR,TOYOTA,COROLLA ALTIS,2003,BK,139500,S1,2023-01-09,S2,PL,APPLICATION_COMPLETED,40,20
348,24000.0,23408.35,36,F,1994-08-05,อื่นๆ,20000.0,MC,YAMAHA,FINN 115I,2019,AK,32000,S1,2022-07-20,S1,PL,APPLICATION_COMPLETED,29,4
349,130000.0,130000.0,60,F,1993-12-14,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,30,20
350,8000.0,7780.58,12,M,2000-11-02,เกษตรกร,6500.0,MC,HONDA,CLICK 125I,2017,BD,32000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,23,6
351,225000.0,222456.12,48,M,1994-05-02,อื่นๆ,19500.0,VAN,TOYOTA,COMMUTER,2010,FA,300000,S1,2022-07-12,S1,PL,APPLICATION_COMPLETED,29,13
352,170000.0,170000.0,60,F,1980-06-22,พนักงานบริษัท,17000.0,PU,ISUZU,D-MAX,2005,BB,213000,S1,2022-09-09,S1,PL,APPLICATION_COMPLETED,43,18
353,28800.0,28733.24,36,F,1986-04-30,พนักงานบริษัท,22000.0,MC,HONDA,SCOOPY I,2019,CK,38500,S1,2022-10-18,S1,PL,APPLICATION_COMPLETED,37,4
354,10000.0,9745.09,36,F,1985-04-04,พนักงานบริษัท,16000.0,MC,HONDA,SONIC,2007,AD,20000,S1,2022-11-21,S1,PL,APPLICATION_COMPLETED,38,16
355,173000.0,173000.0,60,F,1975-12-11,ข้าราชการ,21020.0,PU,ISUZU,D-MAX,2006,CM,247500,S1,2022-10-11,S1,PL,APPLICATION_COMPLETED,48,17
357,27000.0,27000.0,36,F,1980-03-19,STREET VENDOR,25000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S1,2022-09-20,S1,PL,APPLICATION_COMPLETED,43,7
359,80000.0,80000.0,60,F,1985-06-19,STREET VENDOR,30000.0,CAR,HONDA,CITY,2002,CV,120500,S1,2022-08-25,S1,PL,APPLICATION_COMPLETED,38,21
360,25000.0,23226.99,36,F,1987-03-26,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2014,CJ,36000,S1,2022-07-26,S1,PL,APPLICATION_COMPLETED,36,9
363,20000.0,20000.0,12,M,1983-01-29,อื่นๆ,21000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2022-10-05,S1,PL,APPLICATION_COMPLETED,40,4
