,Application Number,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age,is_npl
5682,25650803REUC00054,246750.0,246595.04,60,M,1955-09-14,ข้าราชการ,63273.0,CAR,TOYOTA,YARIS,2015,DS,329000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,68,8,0
5691,25650803ULMB00119,15000.0,15000.0,30,M,1995-04-10,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,28,12,1
5693,25650803ULCR00075,242000.0,242000.0,60,M,1969-11-30,เกษตรกร,44000.0,PU,TOYOTA,HILUX VIGO,2008,CF,323000,S1,2022-08-03,S1,PL,APPLICATION_COMPLETED,54,15,0
5716,25650803ULCR00097,23700.0,23700.0,30,F,1986-10-23,อื่นๆ,17000.0,CAR,CHEVROLET,AVEO,2006,CV,79000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,37,17,0
5719,25650803REUM00045,21500.0,20859.46,36,M,1971-08-19,อื่นๆ,20000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,52,6,0
5748,25650803REUC00134,100000.0,99410.78,60,F,1978-01-20,พนักงานบริษัท,15000.0,CAR,HONDA,CR-V,2005,AL,200500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,45,18,0
5776,25650803ULMB00150,23000.0,22987.94,24,M,1995-04-18,พนักงานบริษัท,33000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,28,11,0
5791,25650804REUM00006,28000.0,25912.51,36,F,1969-05-20,อาจารย์,30660.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,54,11,0
5796,25650804ULMB00021,36700.0,35078.76,36,F,1979-08-10,STREET VENDOR,20000.0,MC,HONDA,DREAM 110I,2016,CD,49000,S1,2023-01-11,S2,PL,APPLICATION_COMPLETED,44,7,0
5824,25650804ULCR00029,45000.0,45000.0,60,M,1983-05-30,อื่นๆ,15000.0,CAR,HONDA,CIVIC,2001,EA,151000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,40,22,0
5826,25650804ULCR00031,144000.0,144000.0,60,M,1969-12-11,ข้าราชการ,36000.0,CAR,TOYOTA,VIOS,2010,DX,222000,S3,2022-12-29,S2,NPL,APPLICATION_COMPLETED,54,13,1
5829,25650804REUM00016,23000.0,22993.25,24,M,1992-08-18,พนักงานบริษัท,11500.0,MC,HONDA,WAVE 110I,2016,BT,31000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,31,7,0
5835,25650804ULCR00035,200000.0,200000.0,60,F,1975-03-19,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2006,CI,264500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,48,17,0
5869,25650804ULMB00055,15000.0,14986.48,12,M,1996-05-11,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2010,AG,20000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,27,13,0
5903,25650804ULMB00071,4800.0,4193.23,12,M,1978-03-02,อื่นๆ,9000.0,MC,HONDA,WAVE 100,2005,AD,16000,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,45,18,0
5904,25650804ULMB00078,14000.0,12983.59,24,M,1987-12-24,อื่นๆ,15000.0,MC,HONDA,SCOOPY I,2011,AR,24000,S1,2023-01-07,S2,PL,APPLICATION_COMPLETED,36,12,0
5919,25650804ULMB00052,15800.0,15800.0,24,M,1963-12-05,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,60,12,1
5920,25650804ULMB00072,7500.0,7416.59,12,M,1980-05-11,พนักงานบริษัท,15000.0,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,2023-01-02,S2,PL,APPLICATION_COMPLETED,43,11,0
5922,25650804ULCR00024,100000.0,100000.0,60,M,1990-06-20,อื่นๆ,23000.0,CAR,HONDA,CIVIC,2009,AN,264500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,14,0
5936,25650804ULCR00061,220000.0,219776.16,36,F,1993-12-24,เกษตรกร,50000.0,PU,ISUZU,MU-7,2006,AE,273500,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,30,17,0
5966,25650804ULCR00100,160000.0,157727.65,24,F,1993-10-07,STREET VENDOR,25000.0,PU,MAZDA,BT-50,2011,AX,249500,S2,2023-01-15,S3,NPL,APPLICATION_COMPLETED,30,12,1
5968,25650804ULMB00067,21500.0,21500.0,24,M,1963-12-05,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,60,12,1
5983,25650804REUC00108,170000.0,170000.0,60,F,1984-03-27,STREET VENDOR,30000.0,CAR,HONDA,CIVIC,2006,DD,230000,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,39,17,0
5988,25650804ULCR00106,110000.0,109999.24,48,M,1993-03-28,พนักงานบริษัท,19000.0,PU,ISUZU,DRAGON POWER,2001,DL,182500,S1,2022-12-14,S2,PL,APPLICATION_COMPLETED,30,22,0
5999,25650804ULCR00118,160000.0,160000.0,48,F,1983-11-21,STREET VENDOR,25000.0,CAR,MITSUBISHI,ATTRAGE,2013,BO,229000,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,40,10,0
6000,25650804ULCR00122,100000.0,100000.0,36,M,1980-11-09,พนักงานบริษัท,40000.0,PU,MITSUBISHI,TRITON,2012,AQ,206500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,43,11,0
6037,25650804ULCR00116,188000.0,188000.0,60,M,1983-12-07,พนักงานบริษัท,20800.0,PU,ISUZU,D-MAX,2010,AT,269000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,40,13,0
6073,25650805REUM00007,18000.0,17176.29,36,M,1969-01-05,STREET VENDOR,20000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,24000,S1,2022-08-05,S1,PL,APPLICATION_COMPLETED,54,12,0
6074,25650805ULCR00015,220000.0,220000.0,60,M,1979-11-10,พนักงานบริษัท,25000.0,PU,MITSUBISHI,TRITON,2011,BG,314500,S1,2022-08-05,S1,PL,APPLICATION_COMPLETED,44,12,0
6081,25650805REUC00022,150000.0,149697.1,36,F,1974-11-22,STREET VENDOR,20000.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,2023-01-09,S2,PL,APPLICATION_COMPLETED,49,20,0
6118,25650805ULMB00060,26000.0,25824.05,36,F,1980-10-14,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,43,10,0
6120,25650805ULCR00037,182000.0,182000.0,60,F,1978-06-30,อื่นๆ,15000.0,CAR,MITSUBISHI,ATTRAGE,2016,AL,281000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,45,7,0
6124,25650805REUM00003,50000.0,49800.13,36,M,1995-12-18,พนักงานบริษัท,22300.0,MC,HONDA,PCX 150,2019,DN,72000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,28,4,0
6154,25650805REUM00021,14500.0,14500.0,36,F,1956-01-01,STREET VENDOR,16000.0,MC,YAMAHA,SPARK 115 I,2013,AK,19500,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,67,10,1
6158,25650805ULMB00066,29000.0,28646.25,12,M,2000-07-27,อื่นๆ,15000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,23,4,0
6165,25650805ULMB00090,29000.0,27573.94,24,F,1983-11-08,STREET VENDOR,17000.0,MC,HONDA,PCX 150,2012,BU,39000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,40,11,0
6187,25650805ULMB00096,26000.0,24791.43,36,F,1997-07-15,STREET VENDOR,9000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,26,11,0
6197,25650805REUC00086,100000.0,99779.97,42,M,1988-05-07,อื่นๆ,20000.0,CAR,MITSUBISHI,MIRAGE,2012,BA,143000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,35,11,0
6212,25650805ULCR00099,169000.0,169000.0,60,F,1997-11-01,STREET VENDOR,50000.0,CAR,TOYOTA,COROLLA ALTIS,2010,EL,224500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,26,13,0
6218,25650805ULMB00112,15800.0,14506.16,18,F,1985-08-26,อื่นๆ,21000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,38,13,0
6227,25650805REUC00094,150000.0,145721.63,24,M,1991-06-18,STREET VENDOR,30000.0,CAR,HONDA,BRIO,2013,BY,242000,S1,2022-08-05,S1,PL,APPLICATION_COMPLETED,32,10,0
6232,25650805ULMB00127,27000.0,27000.0,36,M,1979-05-13,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2012,BE,37000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,44,11,0
6238,25650805ULMB00134,28000.0,27804.3,36,M,1994-07-01,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,4,0
6251,25650805ULMB00138,32000.0,32000.0,36,M,1975-03-10,STREET VENDOR,15000.0,MC,HONDA,WAVE 110I,2021,CD,43500,S3,2023-01-05,S2,NPL,APPLICATION_COMPLETED,48,2,1
6300,25650805REUC00109,170000.0,170000.0,60,M,1988-02-20,พนักงานบริษัท,14000.0,PU,ISUZU,D-MAX,2005,CE,217000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,35,18,0
6365,25650806ULCR00040,100000.0,99943.41,36,M,1982-03-22,พนักงานบริษัท,60000.0,CAR,TOYOTA,VIOS,2012,BC,251000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,41,11,0
6376,25650806ULMB00050,18000.0,15639.42,12,F,1984-07-04,อื่นๆ,45000.0,MC,HONDA,SCOOPY I,2013,BG,24000,S1,2022-08-06,S1,PL,APPLICATION_COMPLETED,39,10,0
6399,25650806REUM00039,20000.0,19364.97,24,F,1979-05-15,อื่นๆ,9900.0,MC,HONDA,WAVE 110 I,2015,CK,37000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,44,8,0
6447,25650806REUM00051,26000.0,25338.28,30,F,1974-05-13,อื่นๆ,13000.0,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,2022-12-24,S2,PL,APPLICATION_COMPLETED,49,9,0
6464,25650806ULCR00099,46800.0,46287.65,24,M,1973-10-18,STREET VENDOR,30000.0,PU,CHEVROLET,COLORADO,2006,AD,156000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,50,17,0
6512,25650807REUC00010,178000.0,177903.36,60,F,1989-05-01,พนักงานบริษัท,10000.0,CAR,TOYOTA,YARIS,2010,AR,236000,S1,2022-08-07,S1,PL,APPLICATION_COMPLETED,34,13,0
6517,25650807REUM00010,19500.0,19416.47,18,F,1992-12-30,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 125I,2014,AO,26000,S1,2022-08-07,S1,PL,APPLICATION_COMPLETED,31,9,0
6518,25650807REUC00014,170000.0,170000.0,60,F,1995-03-21,อื่นๆ,15000.0,CAR,FORD,FOCUS,2011,AJ,246000,S1,2022-08-07,S1,PL,APPLICATION_COMPLETED,28,12,0
6520,25650807REUC00022,250000.0,249517.67,60,F,1991-03-15,อาจารย์,25000.0,CAR,MAZDA,2,2016,BO,392500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,32,7,0
6548,25650807ULMB00042,15000.0,15000.0,18,M,1972-12-15,STREET VENDOR,15000.0,MC,HONDA,WAVE X,2007,AV,20000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,51,16,0
6574,25650808ULMB00008,18000.0,17766.38,36,F,1992-11-04,อื่นๆ,13000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,24000,S1,2023-01-16,S2,PL,APPLICATION_COMPLETED,31,12,0
6621,25650808ULMB00036,12000.0,10619.49,12,F,1971-07-27,STREET VENDOR,40000.0,MC,HONDA,CLICK 110I,2008,AU,17000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,52,15,0
6645,25650808ULMB00047,20000.0,20000.0,24,F,1987-01-14,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S3,2023-01-13,S2,NPL,APPLICATION_COMPLETED,36,5,1
6655,25650808REUM00020,24000.0,23967.07,36,M,1987-11-10,อื่นๆ,15000.0,MC,YAMAHA,FINN 115I,2019,AK,32000,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,36,4,0
6664,25650808REUM00015,36000.0,35524.82,24,F,1997-09-16,STREET VENDOR,20000.0,MC,YAMAHA,AEROX 155,2019,AD,48000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,26,4,0
6678,25650808REUC00059,170000.0,170000.0,48,M,1965-04-02,พนักงานบริษัท,20000.0,PU,ISUZU,D-MAX,2008,BN,272500,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,58,15,0
6680,25650808ULMB00066,27000.0,26768.36,36,M,2000-07-10,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,23,11,0
6695,25650808ULCR00078,240000.0,240000.0,60,M,1994-01-21,STREET VENDOR,15000.0,CAR,TOYOTA,VIOS,2015,DL,319000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,29,8,1
6708,25650808ULMB00097,17200.0,16774.98,36,M,1965-11-08,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,58,11,0
6736,25650808ULMB00110,32000.0,30004.62,24,F,1989-01-18,พนักงานบริษัท,20000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,34,5,0
6737,25650808ULMB00099,30000.0,29286.23,36,F,1984-05-25,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,39,6,0
6744,25650808ULMB00114,11000.0,11000.0,12,F,1988-06-15,พนักงานบริษัท,25000.0,MC,SUZUKI,SKYDRIVE 125,2012,AD,17500,S2,2022-11-18,S1,NPL,APPLICATION_COMPLETED,35,11,1
6745,25650808ULMB00128,20000.0,18876.16,24,M,1977-07-25,เกษตรกร,20000.0,MC,HONDA,MSX 125,2016,BF,27000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,46,7,0
6746,25650808ULMB00124,28000.0,25609.86,24,M,1983-04-04,พนักงานบริษัท,16000.0,MC,HONDA,WAVE 110 I,2015,CM,38000,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,40,8,0
6751,25650808ULMB00125,10000.0,10000.0,12,M,1961-11-24,พนักงานบริษัท,15000.0,MC,YAMAHA,MIO 125,2012,AJ,14000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,62,11,0
6801,25650808ULMB00136,20000.0,20000.0,36,M,1994-10-04,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 125,2010,BF,30500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,29,13,0
6808,25650808REUM00074,27900.0,27092.48,36,F,1983-04-29,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,40,5,0
6811,25650808ULMB00160,14000.0,13346.37,36,M,1963-03-14,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,60,14,0
6815,25650808REUM00067,33000.0,33000.0,36,M,1995-05-01,ข้าราชการ,15500.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S3,2023-01-05,S2,NPL,APPLICATION_COMPLETED,28,4,1
6823,25650807REUC00035,156700.0,154814.99,48,M,1994-10-14,พนักงานบริษัท,14000.0,CAR,HONDA,CIVIC,2006,DB,209000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,29,17,0
6826,25650808ULCR00171,16000.0,15084.68,42,F,1967-07-04,เกษตรกร,9000.0,CAR,TOYOTA,CORONA,1994,AI,56500,S1,2022-08-08,S1,PL,APPLICATION_COMPLETED,56,29,0
6853,25650808REUM00080,29000.0,29000.0,36,F,1995-06-04,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2018,BA,39000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,28,5,0
6856,25650809ULMB00002,30000.0,29967.61,24,M,1974-03-04,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,49,4,0
6873,25650809REUM00002,23500.0,22274.14,24,F,1972-01-12,STREET VENDOR,12000.0,MC,HONDA,DREAM 110,2016,CB,45000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,51,7,0
6890,25650809REUM00010,18000.0,18000.0,24,F,1991-02-03,เกษตรกร,15000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,24000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,32,12,0
6891,25650809REUM00004,57300.0,56945.68,36,F,1998-08-06,พนักงานบริษัท,18000.0,MC,HONDA,PCX 150,2020,ED,76500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,25,3,0
6916,25650809REUC00025,150000.0,150000.0,60,M,1995-05-15,อื่นๆ,30000.0,VAN,TOYOTA,COMMUTER,2004,BF,230500,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,28,19,0
6918,25650809ULMB00062,26000.0,24712.71,36,F,1983-01-01,ข้าราชการ,30000.0,MC,HONDA,DREAM 110,2011,AF,35000,S1,2023-01-04,S2,PL,APPLICATION_COMPLETED,40,12,0
6926,25650809ULMB00069,13000.0,12496.56,18,M,1983-10-20,STREET VENDOR,25000.0,MC,HONDA,MSX 125,2016,BF,27000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,40,7,0
6930,25650809ULCR00057,90000.0,90000.0,60,F,1988-12-07,STREET VENDOR,20000.0,CAR,TOYOTA,VIOS,2007,DJ,169000,S1,2023-01-10,S2,PL,APPLICATION_COMPLETED,35,16,0
6934,25650809REUM00020,28500.0,28107.53,36,F,1971-06-08,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2023-01-07,S2,PL,APPLICATION_COMPLETED,52,4,0
6949,25650809REUM00024,33700.0,31978.99,36,F,1982-04-12,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,2023-01-12,S2,PL,APPLICATION_COMPLETED,41,3,0
6957,25650809ULMB00082,27500.0,27329.84,36,F,1993-11-14,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2015,CI,37000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,30,8,0
6963,25650809REUM00029,28000.0,27961.4,18,F,1987-06-26,STREET VENDOR,30000.0,MC,YAMAHA,FINN 115I,2020,AO,37500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,36,3,0
6969,25650809ULMB00085,25000.0,25000.0,36,M,1989-01-23,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2014,CF,35000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,34,9,0
6970,25650809ULMB00099,30000.0,28832.14,36,F,1966-11-14,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2015,CK,37000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,57,8,0
6975,25650809ULMB00109,25000.0,25000.0,36,M,1985-07-05,อื่นๆ,20000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,38,7,0
6980,25650809REUM00031,21000.0,20735.3,18,M,1993-12-18,อื่นๆ,13050.0,MC,HONDA,MSX 125,2017,BP,28000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,30,6,0
6981,25650809ULMB00097,13500.0,13437.96,12,F,1990-10-31,พนักงานบริษัท,15000.0,MC,YAMAHA,FINO (4DO),2011,AM,18000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,33,12,0
6982,25650809REUM00032,30000.0,30000.0,36,F,1991-08-04,พนักงานบริษัท,11000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,32,5,0
6984,25650809ULMB00101,30000.0,28570.99,36,F,1978-09-01,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,45,4,0
7001,25650809REUC00069,200000.0,200000.0,48,F,1968-01-10,พนักงานบริษัท,20000.0,PU,ISUZU,D-MAX,2007,DB,267000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,55,16,0
7007,25650808ULMB00163,34000.0,34000.0,24,F,1974-09-12,STREET VENDOR,32000.0,MC,YAMAHA,M-SLAZ 150,2018,BH,45500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,49,5,0
7012,25650809ULCR00087,250000.0,247736.13,60,F,1984-07-17,STREET VENDOR,30000.0,PU,TOYOTA,HILUX VIGO,2006,CT,321500,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,39,17,0
7013,25650809REUC00073,100000.0,99931.19,48,M,1994-07-04,STREET VENDOR,20000.0,PU,TOYOTA,HILUX TIGER,2001,JS,169000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,29,22,0
7019,25650809ULCR00085,20000.0,17323.12,12,M,1982-11-18,อื่นๆ,15000.0,PU,NISSAN,FRONTIER,2002,BK,138500,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,41,21,0
7028,25650809ULCR00112,71700.0,71700.0,48,F,1984-08-18,พนักงานบริษัท,13000.0,CAR,HONDA,CIVIC,2002,CG,143500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,21,0
7041,25650809ULMB00135,30000.0,28120.71,12,M,1990-07-28,อื่นๆ,12000.0,MC,HONDA,WAVE 125 I,2020,EC,40900,S2,2022-12-13,S1,PL,APPLICATION_COMPLETED,33,3,0
7070,25650809ULCR00035,98000.0,96851.57,60,M,1980-11-27,พนักงานบริษัท,22000.0,CAR,HONDA,JAZZ,2008,BA,219500,S1,2023-01-08,S2,PL,APPLICATION_COMPLETED,43,15,0
7118,25650809REUC00131,90000.0,89727.87,60,F,1982-08-24,พนักงานบริษัท,15000.0,CAR,HONDA,JAZZ,2005,BG,152000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,41,18,0
7122,25650807REUM00018,26000.0,25964.95,12,F,1996-10-12,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2018,BC,35500,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,27,5,0
7127,25650809REUC00135,150000.0,150000.0,60,M,1984-07-31,พนักงานบริษัท,14250.0,PU,TOYOTA,HILUX TIGER,2003,CG,199000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,39,20,0
7160,25650810ULMB00008,16000.0,15811.14,36,F,1964-11-14,อื่นๆ,26000.0,MC,HONDA,WAVE 125 I,2012,BM,22000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,59,11,0
7177,25650810ULMB00020,18000.0,17635.95,24,M,1987-01-13,พนักงานบริษัท,22000.0,MC,HONDA,SCOOPY I,2014,BA,30000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,36,9,0
7180,25650810ULMB00019,8000.0,8000.0,36,F,1996-08-11,พนักงานบริษัท,15000.0,MC,YAMAHA,MIO 125,2010,AE,12500,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,27,13,1
7187,25650810REUC00012,120000.0,119009.91,36,M,1967-08-10,อื่นๆ,30000.0,PU,ISUZU,D-MAX,2005,CK,201500,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,56,18,0
7199,25650810ULCR00016,185000.0,185000.0,60,M,1979-05-08,STREET VENDOR,30000.0,PU,TOYOTA,HILUX VIGO,2008,BZ,248000,S1,2022-08-10,S1,PL,APPLICATION_COMPLETED,44,15,0
7202,25650809REUC00039,228800.0,228800.0,60,F,1987-07-12,พนักงานบริษัท,16300.0,PU,TOYOTA,HILUX VIGO,2008,EO,286000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,36,15,1
7218,25650810ULCR00012,288000.0,287621.52,60,F,1991-02-15,อื่นๆ,15920.0,PU,TOYOTA,HILUX REVO,2016,AB,361000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,32,7,0
7224,25650810REUM00021,30000.0,27350.64,24,F,1978-10-06,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-08-10,S1,PL,APPLICATION_COMPLETED,45,5,0
7226,25650810REUC00008,285000.0,285000.0,60,M,1991-01-24,เลี้ยงสัตว์,35000.0,PU,TOYOTA,HILUX VIGO,2012,EN,359000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,32,11,0
7227,25650810ULCR00019,220000.0,220000.0,60,M,1978-05-08,พนักงานบริษัท,20000.0,CAR,TOYOTA,VIOS,2013,CO,295000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,45,10,0
7241,25650810ULCR00038,176000.0,176000.0,60,F,1993-09-13,พนักงานบริษัท,13000.0,CAR,HONDA,CITY,2009,AV,235000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,14,0
7257,25650810ULMB00071,10000.0,10000.0,12,F,1991-05-10,พนักงานบริษัท,20000.0,MC,GPX,DEMON 125,2016,AF,16000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,32,7,1
7264,25650810REUM00035,30000.0,28516.49,36,F,1982-11-27,STREET VENDOR,90000.0,MC,HONDA,WAVE 110 I,2020,EI,45000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,41,3,0
7292,25650810ULCR00059,157000.0,157000.0,60,F,1982-10-26,พนักงานรัฐวิสาหกิจ,24000.0,CAR,TOYOTA,VIOS,2011,FN,242500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,12,0
7296,25650810ULMB00085,42000.0,41150.57,24,F,1992-02-05,อื่นๆ,25000.0,MC,KAWASAKI,Z 300,2016,BD,71500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,31,7,0
7311,25650810ULMB00102,31000.0,31000.0,30,F,2000-06-26,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,23,6,0
7353,25650810REUC00081,130000.0,130000.0,60,F,1994-10-04,พนักงานบริษัท,15000.0,CAR,HONDA,JAZZ,2006,CO,178000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,29,17,0
7405,25650805REUM00055,15700.0,14852.4,36,F,1991-02-05,เกษตรกร,30000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2023-01-15,S2,PL,APPLICATION_COMPLETED,32,12,0
